x,y,z,intensity,classification
72.541275,1.2953864,152.26852,169.26888,2
38.31318,134.71443,150.74329,152.92186,2
142.35223,126.59555,155.17894,67.58642,5
151.46967,102.581276,155.41171,72.71563,5
44.87673,17.427065,150.78023,186.35628,2
199.81137,125.3736,154.69926,98.30501,2
61.870285,99.5422,151.87323,162.31564,2
198.01196,134.42943,155.20177,91.67251,2
115.360825,48.466316,153.21696,93.41978,5
11.600217,130.41542,151.14351,201.72081,2
89.274254,50.39897,150.82588,165.915,2
85.09817,0.82339895,152.33424,211.28127,2
18.217085,112.778694,150.74554,188.7758,2
119.740456,99.14622,153.11362,100.084946,5
124.47827,66.31248,150.9602,189.85062,2
93.90678,11.399709,152.61272,209.32759,2
132.4179,80.709724,152.79784,164.28215,2
13.808491,77.68965,150.69817,71.3928,2
161.40158,112.88743,153.9627,114.1543,2
72.106255,142.6096,151.13751,191.67131,2
174.95352,102.17979,154.29327,93.12059,5
154.64317,54.52079,152.83716,81.416985,5
75.48668,104.7062,151.65132,71.90513,2
114.88884,111.03583,152.32466,171.2473,2
67.85698,61.743065,151.95392,180.92877,2
40.178562,96.049385,151.66847,178.48221,2
122.157906,32.622044,152.13116,161.7004,2
168.23315,111.96094,153.91275,176.42328,2
107.523254,31.506123,152.79686,192.88246,2
22.377628,118.86394,150.87009,162.48834,2
110.08587,74.58607,151.94302,46.252533,2
80.34344,149.08891,151.6939,100.2622,2
9.145006,145.53545,151.84558,99.72696,5
13.271776,4.417426,149.21814,192.6114,2
190.69879,100.74542,153.56548,92.66384,2
168.77536,44.32447,152.04312,87.246254,2
65.02661,71.651215,152.13567,67.93905,2
38.481575,144.15788,150.54424,169.06374,2
0.07054195,134.40787,151.36719,178.87541,2
101.226074,144.29234,152.5726,208.28467,2
32.84202,49.644966,151.50209,100.4658,2
111.50169,18.507,152.48474,222.39345,2
67.49794,9.0484085,152.13106,202.43411,2
167.95142,97.302574,153.51471,222.12738,2
76.6793,91.67261,151.68488,202.7754,2
130.79713,12.2244,151.76628,195.94666,2
14.86206,127.414635,151.50073,120.52538,5
107.208405,135.21025,153.31133,140.52454,5
135.49008,127.27356,153.17976,180.63467,2
62.805782,100.58215,151.85574,156.64194,2
155.0471,59.430016,150.89526,36.444843,2
21.878567,21.872526,151.7308,61.632538,5
44.03402,76.14975,153.04282,89.15913,5
137.51726,62.627296,150.63437,196.43832,2
72.67966,61.443024,151.87881,186.50427,2
106.57044,96.82806,151.77303,219.06389,2
26.067616,74.00946,151.12885,118.25038,2
15.437076,138.70187,151.17789,203.40207,2
190.83041,82.233315,152.67722,170.59674,2
160.60693,91.326775,154.30858,103.4088,5
103.943726,100.385864,151.66284,192.76259,2
3.6247041,94.02934,150.12276,191.58432,2
7.6357923,23.67344,150.87866,112.50528,2
186.63754,81.22462,152.58473,188.61426,2
109.00327,1.9233253,152.20703,227.39395,2
